time,type,number,queueLength,totalPacketLength
0.841585,1,1,1,0
1.56813,1,2,2,0
2.55421,1,3,3,0
2.6772,0,1,2,0
3.19378,1,4,3,0
3.21995,1,5,4,0
4.6821,1,6,5,0
4.85253,0,2,4,0
4.97143,1,7,5,0
5.33657,0,3,4,0
5.39724,0,4,3,0
6.92881,1,8,4,0
7.22645,1,9,5,0
7.5152,1,10,6,0
7.69837,0,5,5,0
8.62507,0,6,4,0
8.78448,1,11,5,0
9.30893,1,12,6,0
9.49902,0,7,5,0
9.84631,0,8,4,0
10.1341,1,13,5,0
10.725,1,14,6,0
10.8559,1,15,7,0
11.2026,0,9,6,0
11.7212,1,16,7,0
13.1501,0,10,6,0
14.2373,0,11,5,0
16.1112,0,12,4,0
16.114,0,13,3,0
16.4658,1,17,4,0
16.7346,0,14,3,0
17.7334,1,18,4,0
18.2479,1,19,5,0
18.2851,0,15,4,0
18.6516,0,16,3,0
19.57,0,17,2,0
20.5083,0,18,1,0
20.7471,0,19,0,0
25.0147,1,20,1,0
25.6203,1,21,2,0
25.8948,1,22,3,0
26.5815,1,23,4,0
27.1854,0,20,3,0
27.3984,1,24,4,0
28.2171,0,21,3,0
29.1425,0,22,2,0
29.7328,1,25,3,0
29.901,0,23,2,0
30.7578,1,26,3,0
30.9579,0,24,2,0
31.4182,1,27,3,0
32.1831,1,28,4,0
33.8836,0,25,3,0
33.891,0,26,2,0
34.6179,0,27,1,0
34.9365,0,28,0,0
36.9839,1,29,1,0
37.0085,0,29,0,0
38.4778,1,30,1,0
38.7072,0,30,0,0
41.9799,1,31,1,0
42.0411,0,31,0,0
42.4836,1,32,1,0
42.8443,0,32,0,0
46.1852,1,33,1,0
46.8747,0,33,0,0
48.2485,1,34,1,0
48.5859,0,34,0,0
51.585,1,35,1,0
52.6073,1,36,2,0
52.7106,0,35,1,0
54.2008,0,36,0,0
57.957,1,37,1,0
58.3897,1,38,2,0
58.4295,0,37,1,0
58.7866,0,38,0,0
59.1193,1,39,1,0
60.2272,0,39,0,0
61.2348,1,40,1,0
62.0694,0,40,0,0
64.1346,1,41,1,0
64.6299,0,41,0,0
66.9812,1,42,1,0
67.3129,1,43,2,0
68.8392,0,42,1,0
69.3924,0,43,0,0
72.0991,1,44,1,0
72.2122,1,45,2,0
72.8344,0,44,1,0
74.9765,0,45,0,0
76.2917,1,46,1,0
77.1401,1,47,2,0
77.7246,0,46,1,0
79.0827,1,48,2,0
79.1581,0,47,1,0
79.292,0,48,0,0
79.9481,1,49,1,0
80.3675,1,50,2,0
80.611,0,49,1,0
81.3635,0,50,0,0
83.8083,1,51,1,0
83.8098,0,51,0,0
87.0913,1,52,1,0
87.1102,0,52,0,0
89.9027,1,53,1,0
90.1809,0,53,0,0
90.5322,1,54,1,0
93.9058,0,54,0,0
95.1022,1,55,1,0
96.2314,1,56,2,0
96.6458,1,57,3,0
96.76,0,55,2,0
97.1011,0,56,1,0
97.4883,0,57,0,0
98.0772,1,58,1,0
98.3801,0,58,0,0
98.3958,1,59,1,0
98.3976,0,59,0,0
98.4721,1,60,1,0
98.7481,0,60,0,0
99.367,1,61,1,0
99.7851,1,62,2,0
100.576,0,61,1,0
100.646,0,62,0,0
100.953,1,63,1,0
101.453,0,63,0,0
102.042,1,64,1,0
102.288,0,64,0,0
102.455,1,65,1,0
103.173,1,66,2,0
103.53,1,67,3,0
103.925,1,68,4,0
104.934,0,65,3,0
104.989,0,66,2,0
105.599,1,69,3,0
105.651,1,70,4,0
106.519,0,67,3,0
106.63,1,71,4,0
106.713,0,68,3,0
109.117,0,69,2,0
109.757,0,70,1,0
111.115,1,72,2,0
111.811,0,71,1,0
113.097,1,73,2,0
114.109,1,74,3,0
114.473,0,72,2,0
114.956,1,75,3,0
116.71,0,73,2,0
116.927,1,76,3,0
118.535,0,74,2,0
119.17,1,77,3,0
119.588,0,75,2,0
120.449,0,76,1,0
120.768,0,77,0,0
121.06,1,78,1,0
122.867,1,79,2,0
122.948,1,80,3,0
123.726,1,81,4,0
123.799,0,78,3,0
123.96,0,79,2,0
124.434,0,80,1,0
125.331,1,82,2,0
125.375,1,83,3,0
125.468,0,81,2,0
125.548,0,82,1,0
126.906,0,83,0,0
128.443,1,84,1,0
128.739,0,84,0,0
132.312,1,85,1,0
132.786,0,85,0,0
132.954,1,86,1,0
133.191,0,86,0,0
134.696,1,87,1,0
134.986,0,87,0,0
135.129,1,88,1,0
135.418,0,88,0,0
139.91,1,89,1,0
140.057,0,89,0,0
140.435,1,90,1,0
141.087,1,91,2,0
141.23,0,90,1,0
141.582,0,91,0,0
144.426,1,92,1,0
145.565,0,92,0,0
147.41,1,93,1,0
149.158,1,94,2,0
149.285,1,95,3,0
149.5,0,93,2,0
149.793,0,94,1,0
150.738,0,95,0,0
153.098,1,96,1,0
154.943,0,96,0,0
156.072,1,97,1,0
156.538,0,97,0,0
158.43,1,98,1,0
158.545,0,98,0,0
161.601,1,99,1,0
162.42,0,99,0,0
164.849,1,100,1,0
165.269,0,100,0,0
166.81,1,101,1,0
167.234,0,101,0,0
170.544,1,102,1,0
170.761,1,103,2,0
173.732,0,102,1,0
173.788,0,103,0,0
177.415,1,104,1,0
177.48,1,105,2,0
178.267,1,106,3,0
178.369,0,104,2,0
178.7,0,105,1,0
179.51,1,107,2,0
179.522,0,106,1,0
181.067,1,108,2,0
181.217,0,107,1,0
181.245,0,108,0,0
182.053,1,109,1,0
182.612,1,110,2,0
182.692,0,109,1,0
182.909,0,110,0,0
183.189,1,111,1,0
183.207,0,111,0,0
186.139,1,112,1,0
186.323,1,113,2,0
186.99,0,112,1,0
187.117,0,113,0,0
188.524,1,114,1,0
188.777,0,114,0,0
193.428,1,115,1,0
194.771,0,115,0,0
196.298,1,116,1,0
196.78,1,117,2,0
197.274,1,118,3,0
197.962,1,119,4,0
198.048,0,116,3,0
198.781,1,120,4,0
198.797,0,117,3,0
199.297,1,121,4,0
199.31,0,118,3,0
199.357,0,119,2,0
199.706,0,120,1,0
200.207,0,121,0,0
202.709,1,122,1,0
203.329,1,123,2,0
203.53,0,122,1,0
204.175,0,123,0,0
206.211,1,124,1,0
206.307,0,124,0,0
206.719,1,125,1,0
209.208,0,125,0,0
213.113,1,126,1,0
213.517,0,126,0,0
216.986,1,127,1,0
217.261,0,127,0,0
217.764,1,128,1,0
218.785,1,129,2,0
219.16,0,128,1,0
219.709,0,129,0,0
222.633,1,130,1,0
223.467,0,130,0,0
228.503,1,131,1,0
228.94,0,131,0,0
229.444,1,132,1,0
229.641,0,132,0,0
229.848,1,133,1,0
230.259,0,133,0,0
230.858,1,134,1,0
230.904,0,134,0,0
232.777,1,135,1,0
232.841,0,135,0,0
234.113,1,136,1,0
234.493,0,136,0,0
234.634,1,137,1,0
234.741,1,138,2,0
235.328,0,137,1,0
236.636,0,138,0,0
240.32,1,139,1,0
240.595,1,140,2,0
241.962,0,139,1,0
242.63,1,141,2,0
243.271,0,140,1,0
244.233,0,141,0,0
245.711,1,142,1,0
246.799,1,143,2,0
248.047,1,144,3,0
248.097,1,145,4,0
248.822,0,142,3,0
248.871,0,143,2,0
249.656,1,146,3,0
249.769,0,144,2,0
250.515,1,147,3,0
251.183,1,148,4,0
251.803,1,149,5,0
252.117,0,145,4,0
253.442,0,146,3,0
253.546,0,147,2,0
253.962,0,148,1,0
254.475,0,149,0,0
255.021,1,150,1,0
256.676,1,151,2,0
259.232,0,150,1,0
259.649,1,152,2,0
259.806,0,151,1,0
259.868,0,152,0,0
262.259,1,153,1,0
262.405,0,153,0,0
263.568,1,154,1,0
266.233,0,154,0,0
267.171,1,155,1,0
267.665,0,155,0,0
268.063,1,156,1,0
268.626,1,157,2,0
268.816,1,158,3,0
270.007,0,156,2,0
270.249,1,159,3,0
270.505,1,160,4,0
271.51,0,157,3,0
272.889,0,158,2,0
273.261,1,161,3,0
273.417,0,159,2,0
273.839,0,160,1,0
274.335,1,162,2,0
274.375,1,163,3,0
274.378,0,161,2,0
275.619,1,164,3,0
275.644,0,162,2,0
276.068,1,165,3,0
276.831,0,163,2,0
278.269,0,164,1,0
278.399,0,165,0,0
278.591,1,166,1,0
279.054,0,166,0,0
282.982,1,167,1,0
283.552,1,168,2,0
284.434,0,167,1,0
284.993,0,168,0,0
290.409,1,169,1,0
290.447,0,169,0,0
291.929,1,170,1,0
291.945,0,170,0,0
294.285,1,171,1,0
294.425,0,171,0,0
295.067,1,172,1,0
295.312,0,172,0,0
296.504,1,173,1,0
296.734,0,173,0,0
299.082,1,174,1,0
300.094,1,175,2,0
300.461,0,174,1,0
300.654,1,176,2,0
301.65,1,177,3,0
302.36,0,175,2,0
302.923,0,176,1,0
303.325,0,177,0,0
304.654,1,178,1,0
305.131,1,179,2,0
305.866,1,180,3,0
306.768,1,181,4,0
307.667,0,178,3,0
307.913,1,182,4,0
309.294,1,183,5,0
309.832,0,179,4,0
311.222,1,184,5,0
311.557,1,185,6,0
312.955,1,186,7,0
313.005,1,187,8,0
313.267,0,180,7,0
313.386,1,188,8,0
313.438,0,181,7,0
313.667,0,182,6,0
313.904,0,183,5,0
313.974,0,184,4,0
314.188,0,185,3,0
314.708,1,189,4,0
316.506,0,186,3,0
316.867,0,187,2,0
317.247,1,190,3,0
317.415,0,188,2,0
319.01,0,189,1,0
319.5,0,190,0,0
324.845,1,191,1,0
325.046,0,191,0,0
325.269,1,192,1,0
326.54,1,193,2,0
326.606,0,192,1,0
326.831,0,193,0,0
328.361,1,194,1,0
328.994,0,194,0,0
329.754,1,195,1,0
329.857,0,195,0,0
330.295,1,196,1,0
330.312,0,196,0,0
331.678,1,197,1,0
331.799,1,198,2,0
331.906,1,199,3,0
332.393,1,200,4,0
333.004,1,201,5,0
333.858,0,197,4,0
334.002,0,198,3,0
336.787,1,202,4,0
336.953,0,199,3,0
337.034,0,200,2,0
337.722,1,203,3,0
338.565,0,201,2,0
338.699,1,204,3,0
339.112,0,202,2,0
339.322,0,203,1,0
339.457,0,204,0,0
340.717,1,205,1,0
341.002,0,205,0,0
342.504,1,206,1,0
342.652,0,206,0,0
343.154,1,207,1,0
343.177,1,208,2,0
344.883,0,207,1,0
345.355,0,208,0,0
347.466,1,209,1,0
347.971,1,210,2,0
348.338,0,209,1,0
348.861,1,211,2,0
349.502,0,210,1,0
349.69,0,211,0,0
351.196,1,212,1,0
351.335,0,212,0,0
351.485,1,213,1,0
351.831,0,213,0,0
354.733,1,214,1,0
355.06,0,214,0,0
356.677,1,215,1,0
358.502,0,215,0,0
359.489,1,216,1,0
359.539,0,216,0,0
359.615,1,217,1,0
360.179,0,217,0,0
361.924,1,218,1,0
362.089,0,218,0,0
362.81,1,219,1,0
362.918,0,219,0,0
365.197,1,220,1,0
366.223,0,220,0,0
367.409,1,221,1,0
367.585,1,222,2,0
368.202,0,221,1,0
368.955,0,222,0,0
369.781,1,223,1,0
370.344,1,224,2,0
370.514,0,223,1,0
371.07,0,224,0,0
375.25,1,225,1,0
375.932,0,225,0,0
377.27,1,226,1,0
377.569,0,226,0,0
380.05,1,227,1,0
380.052,1,228,2,0
380.241,1,229,3,0
380.773,1,230,4,0
382.174,0,227,3,0
382.622,0,228,2,0
384.319,0,229,1,0
386.252,0,230,0,0
387.663,1,231,1,0
388.005,0,231,0,0
400.286,1,232,1,0
400.295,0,232,0,0
400.396,1,233,1,0
402.311,1,234,2,0
402.909,1,235,3,0
403.828,0,233,2,0
405.064,1,236,3,0
406.4,0,234,2,0
406.809,1,237,3,0
408.089,1,238,4,0
408.874,0,235,3,0
409.14,0,236,2,0
409.682,0,237,1,0
410.554,0,238,0,0
414.353,1,239,1,0
414.725,1,240,2,0
415.868,0,239,1,0
416.007,0,240,0,0
418.58,1,241,1,0
420.993,1,242,2,0
421.221,0,241,1,0
422.033,0,242,0,0
422.082,1,243,1,0
422.094,0,243,0,0
422.889,1,244,1,0
423.363,0,244,0,0
425.062,1,245,1,0
425.847,0,245,0,0
426.948,1,246,1,0
427.502,1,247,2,0
427.693,1,248,3,0
427.839,0,246,2,0
428.284,1,249,3,0
428.592,0,247,2,0
429.167,0,248,1,0
432.186,0,249,0,0
432.207,1,250,1,0
432.472,0,250,0,0
433.431,1,251,1,0
433.778,1,252,2,0
