time,type,number,queueLength,totalPacketLength
5.04951,1,1,1,0
6.88513,0,1,0,0
9.40879,1,2,1,0
10.0004,0,2,0,0
13.2462,1,3,1,0
13.4033,1,4,2,0
15.4215,0,3,1,0
15.5951,0,4,0,0
22.1761,1,5,1,0
22.6602,0,5,0,0
33.9204,1,6,1,0
33.9811,0,6,0,0
56.9317,1,7,1,0
57.1103,0,7,0,0
58.6642,1,8,1,0
59.4258,0,8,0,0
67.9313,1,9,1,0
68.8052,0,9,0,0
71.078,1,10,1,0
71.573,0,10,0,0
74.5509,1,11,1,0
75.9071,0,11,0,0
78.0966,1,12,1,0
78.1751,0,12,0,0
83.2882,1,13,1,0
85.2358,0,13,0,0
111.756,1,14,1,0
112.843,0,14,0,0
130.495,1,15,1,0
130.498,0,15,0,0
136.701,1,16,1,0
137.461,0,16,0,0
152.207,1,17,1,0
152.515,0,17,0,0
192.807,1,18,1,0
193.174,0,18,0,0
201.992,1,19,1,0
202.93,0,19,0,0
204.38,1,20,1,0
206.551,0,20,0,0
208.013,1,21,1,0
208.178,0,21,0,0
212.133,1,22,1,0
212.623,0,22,0,0
222.451,1,23,1,0
223.851,0,23,0,0
231.704,1,24,1,0
232.463,0,24,0,0
237.854,1,25,1,0
238.911,0,25,0,0
241.817,1,26,1,0
244.743,0,26,0,0
246.406,1,27,1,0
246.481,1,28,2,0
249.287,0,27,1,0
249.605,0,28,0,0
253.75,1,29,1,0
253.775,0,29,0,0
262.714,1,30,1,0
262.943,0,30,0,0
283.726,1,31,1,0
283.787,0,31,0,0
286.748,1,32,1,0
287.109,0,32,0,0
308.958,1,33,1,0
309.648,0,33,0,0
321.338,1,34,1,0
321.675,0,34,0,0
341.357,1,35,1,0
342.482,0,35,0,0
347.491,1,36,1,0
350.701,0,36,0,0
362.393,1,37,1,0
362.865,0,37,0,0
364.989,1,38,1,0
365.427,0,38,0,0
368.56,1,39,1,0
369.668,0,39,0,0
381.253,1,40,1,0
382.088,0,40,0,0
398.652,1,41,1,0
399.148,0,41,0,0
415.732,1,42,1,0
417.59,0,42,0,0
417.722,1,43,1,0
420.594,0,43,0,0
423.254,1,44,1,0
423.933,1,45,2,0
423.989,0,44,1,0
426.131,0,45,0,0
448.41,1,46,1,0
449.843,0,46,0,0
